组合码,国家,省州,市县,纬度,经度,人口数
"Washington, Maryland, US",US,Maryland,Washington,39.60835778,-77.82002295,151049
"Wicomico, Maryland, US",US,Maryland,Wicomico,38.37301947,-75.62705831,103609
"Worcester, Maryland, US",US,Maryland,Worcester,38.21274277,-75.33200012,52276
"Baltimore City, Maryland, US",US,Maryland,Baltimore City,39.30211911,-76.61151012,593490
"Barnstable, Massachusetts, US",US,Massachusetts,Barnstable,41.72980578,-70.28854339,212990
"Berkshire, Massachusetts, US",US,Massachusetts,Berkshire,42.37428441,-73.20524838,124944
"Bristol, Massachusetts, US",US,Massachusetts,Bristol,41.79228404,-71.10872211,565217
"Dukes, Massachusetts, US",US,Massachusetts,Dukes,41.40674725,-70.68763497,17332
"Essex, Massachusetts, US",US,Massachusetts,Essex,42.6687626,-70.94687179,789034
"Franklin, Massachusetts, US",US,Massachusetts,Franklin,42.58119713,-72.58602547,70180
"Hampden, Massachusetts, US",US,Massachusetts,Hampden,42.13440424,-72.63235561,466372
"Hampshire, Massachusetts, US",US,Massachusetts,Hampshire,42.33997957,-72.65898478,160830
"Middlesex, Massachusetts, US",US,Massachusetts,Middlesex,42.48607732,-71.39049229,1611699
"Nantucket, Massachusetts, US",US,Massachusetts,Nantucket,41.2942019,-70.08774729,11399
"Norfolk, Massachusetts, US",US,Massachusetts,Norfolk,42.16073095,-71.20530408,706775
"Plymouth, Massachusetts, US",US,Massachusetts,Plymouth,41.94070556,-70.80802823,521202
"Suffolk, Massachusetts, US",US,Massachusetts,Suffolk,42.3279514,-71.07850442,803907
"Worcester, Massachusetts, US",US,Massachusetts,Worcester,42.35026951,-71.90493363,830622
"Alcona, Michigan, US",US,Michigan,Alcona,44.6846864,-83.59507875,10405
"Alger, Michigan, US",US,Michigan,Alger,46.41292944,-86.60260122,9108
"Allegan, Michigan, US",US,Michigan,Allegan,42.59147037,-85.89102866,118081
"Alpena, Michigan, US",US,Michigan,Alpena,45.03477666,-83.62212411,28405
"Antrim, Michigan, US",US,Michigan,Antrim,44.99690221,-85.15503082,23324
"Arenac, Michigan, US",US,Michigan,Arenac,44.0636262,-83.89277559,14883
"Baraga, Michigan, US",US,Michigan,Baraga,46.6720582,-88.36363591,8209
"Barry, Michigan, US",US,Michigan,Barry,42.59513984,-85.30834519,61550
"Bay, Michigan, US",US,Michigan,Bay,43.70639106,-83.98731479,103126
"Benzie, Michigan, US",US,Michigan,Benzie,44.63899297,-86.01608482,17766
"Berrien, Michigan, US",US,Michigan,Berrien,41.95447397,-86.4131308,153401
"Branch, Michigan, US",US,Michigan,Branch,41.91600556,-85.05929476,43517
"Calhoun, Michigan, US",US,Michigan,Calhoun,42.24633834,-85.00493569,134159
"Cass, Michigan, US",US,Michigan,Cass,41.91522292,-85.99405727,51787
"Charlevoix, Michigan, US",US,Michigan,Charlevoix,45.37790017,-85.19614053,26143
"Cheboygan, Michigan, US",US,Michigan,Cheboygan,45.44787015,-84.50122149,25276
"Chippewa, Michigan, US",US,Michigan,Chippewa,46.29552653,-84.54353449,37349
"Clare, Michigan, US",US,Michigan,Clare,43.98794227,-84.8481986,30950
"Clinton, Michigan, US",US,Michigan,Clinton,42.94400871,-84.60145248,79595
"Crawford, Michigan, US",US,Michigan,Crawford,44.68255561,-84.61006219,14029
"Delta, Michigan, US",US,Michigan,Delta,45.9048491,-86.9080745,35784
"Dickinson, Michigan, US",US,Michigan,Dickinson,46.00999672,-87.86961634,25239
"Eaton, Michigan, US",US,Michigan,Eaton,42.59599185,-84.83740035,110268
"Emmet, Michigan, US",US,Michigan,Emmet,45.52625509,-84.89083249,33415
"Genesee, Michigan, US",US,Michigan,Genesee,43.02244215,-83.70589709,405813
"Gladwin, Michigan, US",US,Michigan,Gladwin,43.98901072,-84.38774817,25449
"Gogebic, Michigan, US",US,Michigan,Gogebic,46.40862701,-89.69377193,13975
"Grand Traverse, Michigan, US",US,Michigan,Grand Traverse,44.69565625,-85.55585247,93088
"Gratiot, Michigan, US",US,Michigan,Gratiot,43.29265605,-84.60505416,40711
"Hillsdale, Michigan, US",US,Michigan,Hillsdale,41.88753639,-84.59312019,45605
"Houghton, Michigan, US",US,Michigan,Houghton,46.89988536,-88.68495385,35684
"Huron, Michigan, US",US,Michigan,Huron,43.83353985,-83.04078453,30981
"Ingham, Michigan, US",US,Michigan,Ingham,42.59716886,-84.37472069,292406
"Ionia, Michigan, US",US,Michigan,Ionia,42.94502238,-85.07413319,64697
"Iosco, Michigan, US",US,Michigan,Iosco,44.35486835,-83.63484895,25127
"Iron, Michigan, US",US,Michigan,Iron,46.20974132,-88.53136251,11066
"Isabella, Michigan, US",US,Michigan,Isabella,43.64060976,-84.84664923,69872
"Jackson, Michigan, US",US,Michigan,Jackson,42.24807035,-84.42258681,158510
"Kalamazoo, Michigan, US",US,Michigan,Kalamazoo,42.24542231,-85.53038622,265066
"Kalkaska, Michigan, US",US,Michigan,Kalkaska,44.68512729,-85.09085699,18038
"Kent, Michigan, US",US,Michigan,Kent,43.03197711,-85.54934642,656955
"Keweenaw, Michigan, US",US,Michigan,Keweenaw,47.63197653,-88.41434263,2116
"Lake, Michigan, US",US,Michigan,Lake,43.99050893,-85.802173,11853
"Lapeer, Michigan, US",US,Michigan,Lapeer,43.09052506,-83.22153148,87607
"Leelanau, Michigan, US",US,Michigan,Leelanau,44.94430054,-85.80150326,21761
"Lenawee, Michigan, US",US,Michigan,Lenawee,41.89475156,-84.06603727,98451
"Livingston, Michigan, US",US,Michigan,Livingston,42.60302282,-83.91297209,191995
"Luce, Michigan, US",US,Michigan,Luce,46.47227431,-85.54471223,6229
"Mackinac, Michigan, US",US,Michigan,Mackinac,46.07028979,-85.04980537,10799
"Macomb, Michigan, US",US,Michigan,Macomb,42.69158356,-82.92752801,873972
"Manistee, Michigan, US",US,Michigan,Manistee,44.33352407,-86.05626916,24558
"Marquette, Michigan, US",US,Michigan,Marquette,46.4338914,-87.64043701,66699
"Mason, Michigan, US",US,Michigan,Mason,43.99509218,-86.24988902,29144
"Mecosta, Michigan, US",US,Michigan,Mecosta,43.64064262,-85.32463223,43453
"Menominee, Michigan, US",US,Michigan,Menominee,45.58038692,-87.55370409,22780
"Midland, Michigan, US",US,Michigan,Midland,43.64330771,-84.38804374,83156
"Missaukee, Michigan, US",US,Michigan,Missaukee,44.33772443,-85.09256478,15118
"Monroe, Michigan, US",US,Michigan,Monroe,41.92734151,-83.53749864,150500
"Montcalm, Michigan, US",US,Michigan,Montcalm,43.31082541,-85.15252824,63888
"Montmorency, Michigan, US",US,Michigan,Montmorency,45.0275929,-84.12696227,9328
"Muskegon, Michigan, US",US,Michigan,Muskegon,43.29123859,-86.15176712,173566
"Newaygo, Michigan, US",US,Michigan,Newaygo,43.554374,-85.80070107,48980
"Oakland, Michigan, US",US,Michigan,Oakland,42.66090111,-83.38595416,1257584
"Oceana, Michigan, US",US,Michigan,Oceana,43.64124435,-86.26726673,26467
"Ogemaw, Michigan, US",US,Michigan,Ogemaw,44.33481032,-84.12725175,20997
"Ontonagon, Michigan, US",US,Michigan,Ontonagon,46.6652262,-89.31390481,5720
"Osceola, Michigan, US",US,Michigan,Osceola,43.98992088,-85.32566756,23460
"Oscoda, Michigan, US",US,Michigan,Oscoda,44.68192279,-84.12939244,8241
"Otsego, Michigan, US",US,Michigan,Otsego,45.02085831,-84.59898295,24668
"Ottawa, Michigan, US",US,Michigan,Ottawa,42.95996803,-85.9969107,291830
"Presque Isle, Michigan, US",US,Michigan,Presque Isle,45.34018577,-83.91498656,12592
"Roscommon, Michigan, US",US,Michigan,Roscommon,44.33473082,-84.61067651,24019
"Saginaw, Michigan, US",US,Michigan,Saginaw,43.33433923,-84.0513121,190539
"St. Clair, Michigan, US",US,Michigan,St. Clair,42.92655373,-82.67937954,159128
"St. Joseph, Michigan, US",US,Michigan,St. Joseph,41.91441767,-85.52797979,60964
"Sanilac, Michigan, US",US,Michigan,Sanilac,43.42406072,-82.82055898,41170
"Schoolcraft, Michigan, US",US,Michigan,Schoolcraft,46.19235734,-86.19972234,8094
"Shiawassee, Michigan, US",US,Michigan,Shiawassee,42.953928,-84.14585902,68122
"Tuscola, Michigan, US",US,Michigan,Tuscola,43.46606813,-83.41897025,52245
"Van Buren, Michigan, US",US,Michigan,Van Buren,42.25190229,-86.01939087,75677
"Washtenaw, Michigan, US",US,Michigan,Washtenaw,42.253105,-83.83853204,367601
"Wayne, Michigan, US",US,Michigan,Wayne,42.28098405,-83.281255,1749343
"Wexford, Michigan, US",US,Michigan,Wexford,44.33853602,-85.57712739,33631
"Aitkin, Minnesota, US",US,Minnesota,Aitkin,46.60962049,-93.4116826,15886
"Anoka, Minnesota, US",US,Minnesota,Anoka,45.27476015,-93.24604565,356921
"Becker, Minnesota, US",US,Minnesota,Becker,46.93479392,-95.67158144,34423
"Beltrami, Minnesota, US",US,Minnesota,Beltrami,47.97373527,-94.93732139,47188
"Benton, Minnesota, US",US,Minnesota,Benton,45.69804958,-93.99514135,40889
"Big Stone, Minnesota, US",US,Minnesota,Big Stone,45.42712824,-96.41403739,4991
"Blue Earth, Minnesota, US",US,Minnesota,Blue Earth,44.03554215,-94.06699781,67653
"Brown, Minnesota, US",US,Minnesota,Brown,44.24205652,-94.72562874,25008
"Carlton, Minnesota, US",US,Minnesota,Carlton,46.59180601,-92.67601019,35871
"Carver, Minnesota, US",US,Minnesota,Carver,44.82017001,-93.8009918,105089
"Cass, Minnesota, US",US,Minnesota,Cass,46.95043611,-94.32603968,29779
"Chippewa, Minnesota, US",US,Minnesota,Chippewa,45.02343421,-95.56403693,11800
"Chisago, Minnesota, US",US,Minnesota,Chisago,45.5021011,-92.90861945,56579
"Clay, Minnesota, US",US,Minnesota,Clay,46.89289518,-96.48761922,64222
"Clearwater, Minnesota, US",US,Minnesota,Clearwater,47.57992111,-95.37790562,8818
"Cook, Minnesota, US",US,Minnesota,Cook,47.90504893,-90.52629546,5463
"Cottonwood, Minnesota, US",US,Minnesota,Cottonwood,44.00715262,-95.18138802,11196
"Crow Wing, Minnesota, US",US,Minnesota,Crow Wing,46.48096553,-94.06755609,65055
"Dakota, Minnesota, US",US,Minnesota,Dakota,44.67172617,-93.06299363,429021
"Dodge, Minnesota, US",US,Minnesota,Dodge,44.02238415,-92.86244324,20934
"Douglas, Minnesota, US",US,Minnesota,Douglas,45.93348491,-95.45335469,38141
"Faribault, Minnesota, US",US,Minnesota,Faribault,43.67381499,-93.94787458,13653
"Fillmore, Minnesota, US",US,Minnesota,Fillmore,43.67394126,-92.08980382,21067
"Freeborn, Minnesota, US",US,Minnesota,Freeborn,43.67385583,-93.34884422,30281
"Goodhue, Minnesota, US",US,Minnesota,Goodhue,44.40849741,-92.7234195,46340
"Grant, Minnesota, US",US,Minnesota,Grant,45.93424769,-96.01139609,5972
"Hennepin, Minnesota, US",US,Minnesota,Hennepin,45.00761521,-93.47694895,1265843
"Houston, Minnesota, US",US,Minnesota,Houston,43.67129565,-91.49143057,18600
"Hubbard, Minnesota, US",US,Minnesota,Hubbard,47.10778564,-94.91693868,21491
"Isanti, Minnesota, US",US,Minnesota,Isanti,45.56181234,-93.29487636,40596
"Itasca, Minnesota, US",US,Minnesota,Itasca,47.51009045,-93.63092229,45130
"Jackson, Minnesota, US",US,Minnesota,Jackson,43.67423373,-95.15398258,9846
"Kanabec, Minnesota, US",US,Minnesota,Kanabec,45.9459309,-93.29275192,16337
"Kandiyohi, Minnesota, US",US,Minnesota,Kandiyohi,45.1526059,-95.00586446,43199
"Kittson, Minnesota, US",US,Minnesota,Kittson,48.77754106,-96.78317184,4298
"Koochiching, Minnesota, US",US,Minnesota,Koochiching,48.24539665,-93.78352843,12229
"Lac qui Parle, Minnesota, US",US,Minnesota,Lac qui Parle,44.9973857,-96.17488219,6623
"Lake, Minnesota, US",US,Minnesota,Lake,47.64270764,-91.44557998,10641
"Lake of the Woods, Minnesota, US",US,Minnesota,Lake of the Woods,48.77217001,-94.90274472,3740
"Le Sueur, Minnesota, US",US,Minnesota,Le Sueur,44.37136597,-93.72844721,28887
"Lincoln, Minnesota, US",US,Minnesota,Lincoln,44.41311883,-96.26688165,5639
"Lyon, Minnesota, US",US,Minnesota,Lyon,44.41327865,-95.83806103,25474
"McLeod, Minnesota, US",US,Minnesota,McLeod,44.82367677,-94.27287017,35893
"Mahnomen, Minnesota, US",US,Minnesota,Mahnomen,47.32557075,-95.80921485,5527
"Marshall, Minnesota, US",US,Minnesota,Marshall,48.35825983,-96.37017407,9336
"Martin, Minnesota, US",US,Minnesota,Martin,43.67429718,-94.55099908,19683
"Meeker, Minnesota, US",US,Minnesota,Meeker,45.12328869,-94.52839455,23222
"Mille Lacs, Minnesota, US",US,Minnesota,Mille Lacs,45.93705297,-93.63236823,26277
"Morrison, Minnesota, US",US,Minnesota,Morrison,46.01265363,-94.27341528,33386
"Mower, Minnesota, US",US,Minnesota,Mower,43.67142874,-92.75234549,40062
"Murray, Minnesota, US",US,Minnesota,Murray,44.02216709,-95.76328482,8194
"Nicollet, Minnesota, US",US,Minnesota,Nicollet,44.35291112,-94.24710352,34274
"Nobles, Minnesota, US",US,Minnesota,Nobles,43.67434621,-95.75329576,21629
"Norman, Minnesota, US",US,Minnesota,Norman,47.32628443,-96.45620947,6375
"Olmsted, Minnesota, US",US,Minnesota,Olmsted,44.00374114,-92.40209944,158293
"Otter Tail, Minnesota, US",US,Minnesota,Otter Tail,46.40846929,-95.70835255,58746
"Pennington, Minnesota, US",US,Minnesota,Pennington,48.06642577,-96.0370814,14119
"Pine, Minnesota, US",US,Minnesota,Pine,46.12105238,-92.74070188,29579
"Pipestone, Minnesota, US",US,Minnesota,Pipestone,44.02301619,-96.25841142,9126
"Polk, Minnesota, US",US,Minnesota,Polk,47.77372465,-96.40134647,31364
"Pope, Minnesota, US",US,Minnesota,Pope,45.58606667,-95.44451209,11249
"Ramsey, Minnesota, US",US,Minnesota,Ramsey,45.01625271,-93.09872295,550321
"Red Lake, Minnesota, US",US,Minnesota,Red Lake,47.87197525,-96.09561104,4055
"Redwood, Minnesota, US",US,Minnesota,Redwood,44.40555844,-95.25207021,15170
"Renville, Minnesota, US",US,Minnesota,Renville,44.72836381,-94.94553734,14548
"Rice, Minnesota, US",US,Minnesota,Rice,44.3543376,-93.29658715,66972
"Rock, Minnesota, US",US,Minnesota,Rock,43.67482683,-96.25296832,9315
"Roseau, Minnesota, US",US,Minnesota,Roseau,48.77501878,-95.81079919,15165
"St. Louis, Minnesota, US",US,Minnesota,St. Louis,47.6048407,-92.46879855,199070
"Scott, Minnesota, US",US,Minnesota,Scott,44.6490231,-93.53340251,149013
"Sherburne, Minnesota, US",US,Minnesota,Sherburne,45.44447208,-93.77617511,97238
"Sibley, Minnesota, US",US,Minnesota,Sibley,44.5796592,-94.23164924,14865
"Stearns, Minnesota, US",US,Minnesota,Stearns,45.55192576,-94.61078221,161075
"Steele, Minnesota, US",US,Minnesota,Steele,44.02240351,-93.22627088,36649
"Stevens, Minnesota, US",US,Minnesota,Stevens,45.58613007,-96.00163705,9805
"Swift, Minnesota, US",US,Minnesota,Swift,45.2829032,-95.68264092,9266
"Todd, Minnesota, US",US,Minnesota,Todd,46.06996226,-94.89785296,24664
"Traverse, Minnesota, US",US,Minnesota,Traverse,45.77298854,-96.47062949,3259
"Wabasha, Minnesota, US",US,Minnesota,Wabasha,44.28424356,-92.23121312,21627
"Wadena, Minnesota, US",US,Minnesota,Wadena,46.58589171,-94.96968506,13682
"Waseca, Minnesota, US",US,Minnesota,Waseca,44.02211116,-93.58720034,18612
"Washington, Minnesota, US",US,Minnesota,Washington,45.03864533,-92.88429635,262440
"Watonwan, Minnesota, US",US,Minnesota,Watonwan,43.97823903,-94.61413846,10897
"Wilkin, Minnesota, US",US,Minnesota,Wilkin,46.35721532,-96.4684375,6207
"Winona, Minnesota, US",US,Minnesota,Winona,43.98772283,-91.78081305,50484
"Wright, Minnesota, US",US,Minnesota,Wright,45.17297924,-93.96234781,138377
"Yellow Medicine, Minnesota, US",US,Minnesota,Yellow Medicine,44.71710183,-95.86842453,9709
"Adams, Mississippi, US",US,Mississippi,Adams,31.47669768,-91.35326037,30693
"Alcorn, Mississippi, US",US,Mississippi,Alcorn,34.88084463,-88.57996173,36953
"Amite, Mississippi, US",US,Mississippi,Amite,31.17467303,-90.80501621,12297
"Attala, Mississippi, US",US,Mississippi,Attala,33.08658803,-89.57838564,18174
"Benton, Mississippi, US",US,Mississippi,Benton,34.81681228,-89.18945516,8259
"Bolivar, Mississippi, US",US,Mississippi,Bolivar,33.79696941,-90.87372121,30628
"Calhoun, Mississippi, US",US,Mississippi,Calhoun,33.93683395,-89.33686647,14361
"Carroll, Mississippi, US",US,Mississippi,Carroll,33.44834567,-89.91994479,9947
"Chickasaw, Mississippi, US",US,Mississippi,Chickasaw,33.91983202,-88.9481545,17103
"Choctaw, Mississippi, US",US,Mississippi,Choctaw,33.34598242,-89.24809382,8210
"Claiborne, Mississippi, US",US,Mississippi,Claiborne,31.97061673,-90.90702196,8988
"Clarke, Mississippi, US",US,Mississippi,Clarke,32.04158545,-88.6889622,15541
"Clay, Mississippi, US",US,Mississippi,Clay,33.65358105,-88.77784255,19316
"Coahoma, Mississippi, US",US,Mississippi,Coahoma,34.22772299,-90.60415045,22124
"Copiah, Mississippi, US",US,Mississippi,Copiah,31.86977774,-90.44565118,28065
"Covington, Mississippi, US",US,Mississippi,Covington,31.63225413,-89.55389939,18636
"DeSoto, Mississippi, US",US,Mississippi,DeSoto,34.87625235,-89.99091418,184945
"Forrest, Mississippi, US",US,Mississippi,Forrest,31.18961454,-89.25832496,74897
"Franklin, Mississippi, US",US,Mississippi,Franklin,31.47786634,-90.89672989,7713
"George, Mississippi, US",US,Mississippi,George,30.86259065,-88.64436789,24500
"Greene, Mississippi, US",US,Mississippi,Greene,31.21444233,-88.63922281,13586
"Grenada, Mississippi, US",US,Mississippi,Grenada,33.77036166,-89.80245083,20758
"Hancock, Mississippi, US",US,Mississippi,Hancock,30.41830223,-89.48851033,47632
"Harrison, Mississippi, US",US,Mississippi,Harrison,30.51359752,-89.12467576,208080
"Hinds, Mississippi, US",US,Mississippi,Hinds,32.2656285,-90.44435448,231840
"Holmes, Mississippi, US",US,Mississippi,Holmes,33.12345854,-90.08923538,17010
"Humphreys, Mississippi, US",US,Mississippi,Humphreys,33.12825718,-90.52252707,8064
"Issaquena, Mississippi, US",US,Mississippi,Issaquena,32.72531359,-90.97392828,1327
"Itawamba, Mississippi, US",US,Mississippi,Itawamba,34.27993475,-88.3606733,23390
"Jackson, Mississippi, US",US,Mississippi,Jackson,30.54020656,-88.64184064,143617
"Jasper, Mississippi, US",US,Mississippi,Jasper,32.01922104,-89.11786866,16383
"Jefferson, Mississippi, US",US,Mississippi,Jefferson,31.73397872,-91.03764977,6990
"Jefferson Davis, Mississippi, US",US,Mississippi,Jefferson Davis,31.56884708,-89.8267099,11128
"Jones, Mississippi, US",US,Mississippi,Jones,31.62257767,-89.168969,68098
"Kemper, Mississippi, US",US,Mississippi,Kemper,32.75462946,-88.64105766,9742
"Lafayette, Mississippi, US",US,Mississippi,Lafayette,34.35687874,-89.48490961,54019
"Lamar, Mississippi, US",US,Mississippi,Lamar,31.20572971,-89.5077704,63343
"Lauderdale, Mississippi, US",US,Mississippi,Lauderdale,32.40419769,-88.66229662,74125
"Lawrence, Mississippi, US",US,Mississippi,Lawrence,31.55147224,-90.10841127,12586
"Leake, Mississippi, US",US,Mississippi,Leake,32.7536828,-89.52402044,22786
"Lee, Mississippi, US",US,Mississippi,Lee,34.2918775,-88.68149954,85436
"Leflore, Mississippi, US",US,Mississippi,Leflore,33.55545125,-90.29900733,28183
"Lincoln, Mississippi, US",US,Mississippi,Lincoln,31.53288662,-90.45391915,34153
"Lowndes, Mississippi, US",US,Mississippi,Lowndes,33.47386518,-88.4419153,58595
"Madison, Mississippi, US",US,Mississippi,Madison,32.63389156,-90.03513564,106272
"Marion, Mississippi, US",US,Mississippi,Marion,31.23132643,-89.8209217,24573
"Marshall, Mississippi, US",US,Mississippi,Marshall,34.76216286,-89.50299462,35294
"Monroe, Mississippi, US",US,Mississippi,Monroe,33.89236763,-88.4808438,35252
"Montgomery, Mississippi, US",US,Mississippi,Montgomery,33.49419589,-89.61729103,9775
"Neshoba, Mississippi, US",US,Mississippi,Neshoba,32.75339664,-89.11726492,29118
"Newton, Mississippi, US",US,Mississippi,Newton,32.40021118,-89.11843336,21018
"Noxubee, Mississippi, US",US,Mississippi,Noxubee,33.11009499,-88.56949061,10417
"Oktibbeha, Mississippi, US",US,Mississippi,Oktibbeha,33.42491685,-88.87905132,49587
"Panola, Mississippi, US",US,Mississippi,Panola,34.36398677,-89.95064249,34192
"Pearl River, Mississippi, US",US,Mississippi,Pearl River,30.77090935,-89.58677275,55535
"Perry, Mississippi, US",US,Mississippi,Perry,31.17161885,-88.99281835,11973
"Pike, Mississippi, US",US,Mississippi,Pike,31.17507789,-90.40392572,39288
"Pontotoc, Mississippi, US",US,Mississippi,Pontotoc,34.226046,-89.03636807,32174
"Prentiss, Mississippi, US",US,Mississippi,Prentiss,34.61810501,-88.51986294,25126
"Quitman, Mississippi, US",US,Mississippi,Quitman,34.25157572,-90.28908,6792
"Rankin, Mississippi, US",US,Mississippi,Rankin,32.26469147,-89.94537876,155271
"Scott, Mississippi, US",US,Mississippi,Scott,32.4067041,-89.53789439,28124
"Sharkey, Mississippi, US",US,Mississippi,Sharkey,32.88149103,-90.8159538,4321
"Simpson, Mississippi, US",US,Mississippi,Simpson,31.91282117,-89.91716179,26658
"Smith, Mississippi, US",US,Mississippi,Smith,32.01744532,-89.50644846,15916
"Stone, Mississippi, US",US,Mississippi,Stone,30.79187949,-89.11547539,18336
"Sunflower, Mississippi, US",US,Mississippi,Sunflower,33.60192578,-90.58882684,25110
"Tallahatchie, Mississippi, US",US,Mississippi,Tallahatchie,33.95339918,-90.1729398,13809
"Tate, Mississippi, US",US,Mississippi,Tate,34.65133709,-89.94485778,28321
"Tippah, Mississippi, US",US,Mississippi,Tippah,34.76872156,-88.90988194,22015
"Tishomingo, Mississippi, US",US,Mississippi,Tishomingo,34.74023475,-88.23917219,19383
"Tunica, Mississippi, US",US,Mississippi,Tunica,34.64967704,-90.37481167,9632
"Union, Mississippi, US",US,Mississippi,Union,34.49162015,-89.00776006,28815
"Walthall, Mississippi, US",US,Mississippi,Walthall,31.14971548,-90.10446654,14286
"Warren, Mississippi, US",US,Mississippi,Warren,32.35810271,-90.83352619,45381
"Washington, Mississippi, US",US,Mississippi,Washington,33.28392041,-90.94196237,43909
"Wayne, Mississippi, US",US,Mississippi,Wayne,31.64135687,-88.69573913,20183
"Webster, Mississippi, US",US,Mississippi,Webster,33.61300486,-89.28392912,9689
"Wilkinson, Mississippi, US",US,Mississippi,Wilkinson,31.16078225,-91.31018819,8630
"Winston, Mississippi, US",US,Mississippi,Winston,33.08747908,-89.03391385,17955
"Yalobusha, Mississippi, US",US,Mississippi,Yalobusha,34.02824175,-89.7076205,12108
"Yazoo, Mississippi, US",US,Mississippi,Yazoo,32.77890365,-90.39656148,29690
"Adair, Missouri, US",US,Missouri,Adair,40.19058551,-92.60078167,25343
"Andrew, Missouri, US",US,Missouri,Andrew,39.98492163,-94.80163024,17712
"Atchison, Missouri, US",US,Missouri,Atchison,40.43238737,-95.42970639,5143
"Audrain, Missouri, US",US,Missouri,Audrain,39.215877,-91.84242683,25388
"Barry, Missouri, US",US,Missouri,Barry,36.70978521,-93.82919888,35789
"Barton, Missouri, US",US,Missouri,Barton,37.50207671,-94.34757022,11754
"Bates, Missouri, US",US,Missouri,Bates,38.25271289,-94.34113157,16172
"Benton, Missouri, US",US,Missouri,Benton,38.29503305,-93.28756116,19443
"Bollinger, Missouri, US",US,Missouri,Bollinger,37.32449052,-90.02725304,12133
"Boone, Missouri, US",US,Missouri,Boone,38.99186229,-92.30723575,180463
"Buchanan, Missouri, US",US,Missouri,Buchanan,39.65816401,-94.80138942,87364
"Butler, Missouri, US",US,Missouri,Butler,36.71462476,-90.40421163,42478
"Caldwell, Missouri, US",US,Missouri,Caldwell,39.65620858,-93.98308093,9020
"Callaway, Missouri, US",US,Missouri,Callaway,38.83674754,-91.92186505,44743
"Camden, Missouri, US",US,Missouri,Camden,38.02199522,-92.76083747,46305
"Cape Girardeau, Missouri, US",US,Missouri,Cape Girardeau,37.38489388,-89.6843587,78871
"Carroll, Missouri, US",US,Missouri,Carroll,39.42762566,-93.50626255,8679
"Carter, Missouri, US",US,Missouri,Carter,36.94160441,-90.96051322,5982
"Cass, Missouri, US",US,Missouri,Cass,38.64789422,-94.353399,105780
"Cedar, Missouri, US",US,Missouri,Cedar,37.72391475,-93.85445441,14349
"Chariton, Missouri, US",US,Missouri,Chariton,39.51499357,-92.9629191,7426
"Christian, Missouri, US",US,Missouri,Christian,36.9711783,-93.18537118,88595
"Clark, Missouri, US",US,Missouri,Clark,40.41040752,-91.73661677,6797
"Clay, Missouri, US",US,Missouri,Clay,39.31132056,-94.41850862,249948
"Clinton, Missouri, US",US,Missouri,Clinton,39.6013098,-94.40465394,20387
"Cole, Missouri, US",US,Missouri,Cole,38.50455671,-92.27860244,76745
"Cooper, Missouri, US",US,Missouri,Cooper,38.844478,-92.80896081,17709
"Crawford, Missouri, US",US,Missouri,Crawford,37.97663738,-91.30528104,23920
"Dade, Missouri, US",US,Missouri,Dade,37.431814,-93.8503345,7561
"Dallas, Missouri, US",US,Missouri,Dallas,37.6811355,-93.02127031,16878
"Daviess, Missouri, US",US,Missouri,Daviess,39.96145298,-93.98519678,8278
"DeKalb, Missouri, US",US,Missouri,DeKalb,39.89201062,-94.40476508,12547
"Dent, Missouri, US",US,Missouri,Dent,37.60663134,-91.50790473,15573
"Douglas, Missouri, US",US,Missouri,Douglas,36.9325593,-92.49905109,13185
"Dunklin, Missouri, US",US,Missouri,Dunklin,36.27167174,-90.09122243,29131
"Franklin, Missouri, US",US,Missouri,Franklin,38.41127108,-91.07522826,103967
"Gasconade, Missouri, US",US,Missouri,Gasconade,38.43947277,-91.50847147,14706
"Gentry, Missouri, US",US,Missouri,Gentry,40.21097916,-94.40944419,6571
"Greene, Missouri, US",US,Missouri,Greene,37.2575872,-93.34230916,293086
"Grundy, Missouri, US",US,Missouri,Grundy,40.11406587,-93.56509276,9850
"Harrison, Missouri, US",US,Missouri,Harrison,40.35570088,-93.99222144,8352
"Henry, Missouri, US",US,Missouri,Henry,38.38482826,-93.79293734,21824
"Hickory, Missouri, US",US,Missouri,Hickory,37.94163617,-93.3203037,9544
"Holt, Missouri, US",US,Missouri,Holt,40.09799248,-95.2163888,4403
"Howard, Missouri, US",US,Missouri,Howard,39.1435761,-92.69756691,10001
"Howell, Missouri, US",US,Missouri,Howell,36.77383887,-91.88683935,40117
"Iron, Missouri, US",US,Missouri,Iron,37.55487945,-90.7735296,10125
"Jackson, Missouri, US",US,Missouri,Jackson,39.01002188,-94.34724536,703011
"Jasper, Missouri, US",US,Missouri,Jasper,37.20351921,-94.34050458,121328
"Jefferson, Missouri, US",US,Missouri,Jefferson,38.25926778,-90.53870896,225081
"Johnson, Missouri, US",US,Missouri,Johnson,38.74719601,-93.80691168,54062
"Knox, Missouri, US",US,Missouri,Knox,40.12699751,-92.14780832,3959
"Laclede, Missouri, US",US,Missouri,Laclede,37.65896829,-92.5888493,35723
"Lafayette, Missouri, US",US,Missouri,Lafayette,39.06986886,-93.78076396,32708
"Lawrence, Missouri, US",US,Missouri,Lawrence,37.10626634,-93.83293097,38355
"Lewis, Missouri, US",US,Missouri,Lewis,40.09673161,-91.72070156,9776
"Lincoln, Missouri, US",US,Missouri,Lincoln,39.05345619,-90.95588181,59013
